iter	Logloss
0	0.6837838688
1	0.6753951422
2	0.6670136209
3	0.6595864087
4	0.653031134
5	0.6453119265
6	0.638710076
7	0.6333092649
8	0.6267385148
9	0.6203632416
10	0.6147146135
11	0.6090033189
12	0.6041319111
13	0.6000940992
14	0.5957251162
15	0.5910679403
16	0.5864374929
17	0.5826895719
18	0.578305382
19	0.5747792846
20	0.5712996396
21	0.5682072059
22	0.5654300837
23	0.5623672374
24	0.5594517537
25	0.5561829302
26	0.5534730751
27	0.550937699
28	0.5482233397
29	0.5457435542
30	0.5434693682
31	0.541254743
32	0.5391076783
33	0.5367685832
34	0.534878409
35	0.5330152522
36	0.5310202821
37	0.5294161621
38	0.5273590117
39	0.5256450016
40	0.524158463
41	0.522547372
42	0.5210736564
43	0.519697713
44	0.5186177251
45	0.5172204597
46	0.5164907065
47	0.5155509708
48	0.5141395329
49	0.512999276
50	0.5121586969
51	0.5109937981
52	0.5099212586
53	0.5087943721
54	0.5076303544
55	0.5068293516
56	0.505960423
57	0.50485658
58	0.5041333703
59	0.5031684611
60	0.5021457973
61	0.5013254049
62	0.5006947528
63	0.5001494207
64	0.4994694208
65	0.4986178917
66	0.4980133454
67	0.4974479593
68	0.4967092664
69	0.496426391
70	0.495669569
71	0.4950122469
72	0.4939141838
73	0.4933332382
74	0.492733079
75	0.4924306684
76	0.4916042531
77	0.4909830694
78	0.4902331996
79	0.4899321948
80	0.4894395459
81	0.488992938
82	0.488780997
83	0.4882127934
84	0.4877796212
85	0.487291047
86	0.4868760745
87	0.4861879491
88	0.485793474
89	0.4852231422
90	0.4848242153
91	0.4845346561
92	0.4842914091
93	0.4840573793
94	0.4837276344
95	0.4835075916
96	0.4832512684
97	0.4830144087
98	0.4828097002
99	0.4822238525
100	0.4819164042
101	0.4817395479
102	0.4813952275
103	0.48110144
104	0.480892761
105	0.4805953765
106	0.4804195311
107	0.4801929817
108	0.4795466555
109	0.4793322634
110	0.4790460556
111	0.4789201449
112	0.4786079731
113	0.478348049
114	0.4781745959
115	0.477916579
116	0.4778062529
117	0.4776422323
118	0.4774570231
119	0.4772279334
120	0.4771082885
121	0.4767092152
122	0.4763074495
123	0.476101041
124	0.4758963521
125	0.4757409517
126	0.4755950332
127	0.4754087013
128	0.4751811995
129	0.4750441922
130	0.4748936668
131	0.4746688164
132	0.4744600126
133	0.4741101518
134	0.473975944
135	0.4737324269
136	0.4736077193
137	0.4733200384
138	0.473250292
139	0.4731507669
140	0.4729520335
141	0.4727948206
142	0.4727451603
143	0.4725085588
144	0.4723941322
145	0.4723419797
146	0.4722387159
147	0.47205224
148	0.4717696737
149	0.4716700019
150	0.4714725257
151	0.4713061097
152	0.4712114533
153	0.4711270831
154	0.471064946
155	0.4709081775
156	0.470729777
157	0.470623647
158	0.4704840306
159	0.4703526463
160	0.4702248041
161	0.4701400721
162	0.4700827617
163	0.4700266296
164	0.469985141
165	0.4699313012
166	0.4697801865
167	0.4697331268
168	0.469656051
169	0.4695052098
170	0.4693866281
171	0.4693480546
172	0.4691901392
173	0.4691022708
174	0.4690234805
175	0.4688832899
176	0.4688024878
177	0.4685540781
178	0.4684946403
179	0.4684465287
180	0.468403096
181	0.4683778241
182	0.4682943493
183	0.4681916866
184	0.4681634166
185	0.4680870906
186	0.4680236189
187	0.4678997789
188	0.4678491331
189	0.4677751131
190	0.4676955537
191	0.4676174596
192	0.4675898624
193	0.4674921859
194	0.4674338092
195	0.4673586922
196	0.467301358
197	0.4671477913
198	0.4671057217
199	0.4670561687
200	0.467003996
201	0.4669351557
202	0.4668936905
203	0.4668652634
204	0.466791126
205	0.4665820924
206	0.4665409974
207	0.4664908602
208	0.4663864769
209	0.4663273655
210	0.4661720177
211	0.4661505024
212	0.4661078623
213	0.4659869109
214	0.465912905
215	0.4658773859
216	0.4658375386
217	0.4658091528
218	0.465594151
219	0.4655521657
220	0.4655172184
221	0.4654521903
222	0.4653617233
223	0.4652842273
224	0.4652149637
225	0.4651807767
226	0.4651342053
227	0.4650831864
228	0.4650168268
229	0.4649822891
230	0.4648589764
231	0.464775235
232	0.464726818
233	0.4646924037
234	0.4646270212
235	0.4645749101
236	0.464537709
237	0.4645059016
238	0.4644495195
239	0.4643969026
240	0.4642318149
241	0.4641705274
242	0.4640850739
243	0.4640424595
244	0.4639940555
245	0.4639548313
246	0.4638047228
247	0.4637267107
248	0.4636495285
249	0.4634258007
250	0.4632249729
251	0.4631824423
252	0.4630914479
253	0.4630460469
254	0.4629820606
255	0.4629352314
256	0.4628727047
257	0.4627656601
258	0.4627130735
259	0.4626769109
260	0.4625985689
261	0.4625575344
262	0.4625142642
263	0.4624686227
264	0.4624471814
265	0.4624076832
266	0.4623752286
267	0.462336483
268	0.4622658814
269	0.4622106577
270	0.4621480451
271	0.4621024137
272	0.4620844181
273	0.4620197804
274	0.4619903363
275	0.4619627503
276	0.461881635
277	0.4618040243
278	0.4617521541
279	0.4616528502
280	0.4616389812
281	0.4616075981
282	0.4615630888
283	0.4614718583
284	0.4614384546
285	0.4614046202
286	0.4613395441
287	0.4611588272
288	0.4610463231
289	0.4609167438
290	0.4608566824
291	0.4608090952
292	0.4607806768
293	0.4607390636
294	0.4607065904
295	0.4606682901
296	0.4606372524
297	0.4605966809
298	0.4605404976
299	0.4605106003
300	0.4603898019
301	0.4603377223
302	0.460282407
303	0.4601895732
304	0.460144514
305	0.4601114451
306	0.4600829732
307	0.4599988417
308	0.4599484498
309	0.4598947986
310	0.4597137335
311	0.4596760657
312	0.4596141599
313	0.4595511287
314	0.4595011614
315	0.4593904847
316	0.4592480551
317	0.4591554489
318	0.4591283084
319	0.4590919103
320	0.4590533712
321	0.4590094345
322	0.4589328331
323	0.4588855642
324	0.4588022728
325	0.4587592946
326	0.4586756047
327	0.4586158388
328	0.4585850798
329	0.4585619181
330	0.4585098974
331	0.4584487055
332	0.4583948469
333	0.4583469626
334	0.4582709319
335	0.4581957123
336	0.4581524272
337	0.4580940789
338	0.4580473999
339	0.4580048129
340	0.4579769799
341	0.4579134286
342	0.4578910949
343	0.4578489267
344	0.4577994329
345	0.4577438508
346	0.4576858047
347	0.4576348031
348	0.4575805017
349	0.4572990468
350	0.4572448709
351	0.457171546
352	0.4571235725
353	0.4570765556
354	0.4570481385
355	0.4569912026
356	0.4569425543
357	0.4569105691
358	0.4568449783
359	0.4567881646
360	0.4567393926
361	0.4566875005
362	0.4566409036
363	0.4566001095
364	0.456565931
365	0.4565276925
366	0.4564988299
367	0.4564547667
368	0.4563984541
369	0.4563566199
370	0.4563008333
371	0.4562566483
372	0.4561845939
373	0.4561425163
374	0.456097646
375	0.4560316162
376	0.4559938762
377	0.4559021857
378	0.4558498656
379	0.4557743919
380	0.4557273031
381	0.4556915947
382	0.4556506526
383	0.4555797797
384	0.4555193683
385	0.455446418
386	0.4553729311
387	0.4552392081
388	0.4551681856
389	0.4551026749
390	0.4550311217
391	0.4549133445
