iter	Logloss
0	0.6831393433
1	0.6730281877
2	0.6642264295
3	0.6559625444
4	0.6472131494
5	0.6386285998
6	0.6317516213
7	0.6241832054
8	0.6172273029
9	0.6113724224
10	0.6046568398
11	0.5984856669
12	0.5925365392
13	0.5874180883
14	0.5826801768
15	0.579135842
16	0.5744729982
17	0.5703137906
18	0.5664756379
19	0.5628449827
20	0.559264499
21	0.5557770279
22	0.5527675039
23	0.5499415033
24	0.5469861879
25	0.5443005347
26	0.5413462831
27	0.5387383275
28	0.5360805767
29	0.5335611962
30	0.5309067802
31	0.5285846903
32	0.5262541623
33	0.5241624846
34	0.5222040264
35	0.5205056674
36	0.5186770646
37	0.5173130839
38	0.5152710237
39	0.5141478614
40	0.5125832151
41	0.511081019
42	0.5104694558
43	0.5090706531
44	0.5075554761
45	0.5059658454
46	0.5051734916
47	0.5038359792
48	0.5027296745
49	0.5013388655
50	0.5001443339
51	0.4988235121
52	0.4978380942
53	0.496680593
54	0.4954698808
55	0.4944986652
56	0.4934021247
57	0.4923470698
58	0.4913975137
59	0.4905500383
60	0.4896405549
61	0.489196176
62	0.488257413
63	0.4872827377
64	0.4862918056
65	0.4856906608
66	0.484917529
67	0.4841759254
68	0.4833860458
69	0.4823837057
70	0.4817011796
71	0.4810623454
72	0.4804198232
73	0.4797122455
74	0.4791505077
75	0.4784757192
76	0.4780012709
77	0.4771850205
78	0.476496044
79	0.4760065199
80	0.4753077975
81	0.4747549111
82	0.4741069606
83	0.4734948169
84	0.473093193
85	0.4725782947
86	0.4721947802
87	0.471750185
88	0.4712253158
89	0.4705832009
90	0.4699354174
91	0.469582612
92	0.4691981342
93	0.4688428639
94	0.4684297347
95	0.4680151723
96	0.4674587888
97	0.4670900762
98	0.4665165502
99	0.4660458115
100	0.4657533111
101	0.4653059503
102	0.4648504742
103	0.4644450228
104	0.4640262515
105	0.4636478658
106	0.4631698312
107	0.4627819057
108	0.4623763746
109	0.4620155224
110	0.4617381289
111	0.4614608678
112	0.4611020211
113	0.4607016907
114	0.4604458913
115	0.4601091702
116	0.4598542172
117	0.4595365522
118	0.4593209592
119	0.4590008428
120	0.4585743378
121	0.458190928
122	0.4579940379
123	0.4577780372
124	0.4575370327
125	0.4572994533
126	0.4568734744
127	0.4565961284
128	0.4562673905
129	0.4559882221
130	0.4556897825
131	0.4552710792
132	0.454876754
133	0.454501189
134	0.4541717208
135	0.4538624002
136	0.4536755739
137	0.4534301958
138	0.4532137532
139	0.4528302224
140	0.4524184982
141	0.4522663082
142	0.4519575783
143	0.4513986217
144	0.4511131983
145	0.4509654378
146	0.4507747941
147	0.4506316901
148	0.4504164111
149	0.4501485913
150	0.4499384992
151	0.4495729343
152	0.4493794414
