iter	Passed	Remaining
420	2140	2943
421	2144	2937
422	2148	2931
423	2153	2925
424	2158	2920
425	2163	2914
426	2167	2909
427	2172	2903
428	2177	2897
429	2181	2891
430	2185	2885
431	2190	2879
432	2194	2874
433	2199	2868
434	2203	2862
435	2208	2857
436	2216	2855
437	2222	2851
438	2228	2848
439	2234	2844
440	2240	2839
441	2245	2834
442	2249	2828
443	2253	2822
444	2258	2816
445	2262	2810
446	2267	2805
447	2272	2799
448	2278	2796
449	2283	2791
450	2289	2786
451	2294	2781
452	2298	2775
453	2303	2769
454	2308	2764
455	2312	2758
456	2316	2752
457	2321	2746
458	2325	2741
459	2330	2736
460	2335	2730
461	2341	2727
462	2346	2721
463	2351	2716
464	2356	2711
465	2362	2706
466	2366	2701
467	2372	2696
468	2377	2692
469	2382	2686
470	2387	2681
471	2392	2676
472	2397	2671
473	2403	2667
474	2408	2662
475	2413	2656
476	2417	2650
477	2423	2646
478	2428	2641
479	2432	2635
480	2439	2631
481	2443	2626
482	2448	2620
483	2452	2615
484	2457	2609
485	2462	2604
486	2467	2599
487	2472	2594
488	2477	2589
489	2481	2583
490	2486	2578
491	2491	2572
492	2495	2566
493	2500	2560
494	2504	2555
495	2508	2549
496	2513	2543
497	2517	2537
498	2522	2532
499	2527	2527
500	2532	2522
501	2537	2516
502	2541	2511
503	2545	2505
504	2550	2500
505	2555	2494
506	2559	2488
507	2564	2483
508	2569	2478
509	2573	2472
510	2578	2467
511	2583	2462
512	2588	2457
513	2593	2451
514	2599	2448
515	2605	2443
516	2610	2438
517	2614	2432
518	2619	2427
519	2623	2422
520	2628	2416
521	2632	2410
522	2637	2405
523	2642	2400
524	2647	2395
525	2652	2390
526	2657	2384
527	2662	2379
528	2666	2373
529	2670	2368
530	2675	2362
531	2679	2356
532	2683	2351
533	2687	2345
534	2691	2339
535	2696	2334
536	2701	2329
537	2706	2323
538	2710	2318
539	2714	2312
540	2718	2306
541	2723	2301
542	2728	2296
543	2733	2290
544	2737	2285
545	2741	2279
546	2746	2274
547	2750	2268
548	2756	2264
549	2761	2259
550	2766	2254
551	2771	2249
552	2776	2244
553	2782	2240
554	2787	2235
555	2792	2230
556	2797	2224
557	2801	2219
558	2806	2214
559	2811	2208
560	2817	2204
561	2822	2199
562	2826	2194
563	2832	2189
564	2837	2184
565	2841	2179
566	2847	2174
567	2852	2169
568	2856	2163
569	2861	2158
570	2867	2154
571	2873	2149
572	2879	2146
573	2885	2141
574	2890	2136
575	2894	2130
576	2899	2125
577	2903	2120
578	2908	2114
579	2912	2109
580	2916	2103
581	2921	2098
582	2925	2092
583	2929	2086
584	2933	2081
585	2938	2076
586	2943	2071
587	2948	2066
588	2953	2061
589	2958	2055
590	2963	2050
591	2968	2045
592	2972	2040
593	2977	2034
594	2981	2029
595	2986	2024
596	2991	2019
597	2995	2013
598	2999	2008
599	3004	2003
600	3010	1998
601	3014	1993
602	3018	1987
603	3023	1982
604	3028	1977
605	3032	1971
606	3036	1965
607	3040	1960
608	3044	1954
609	3049	1949
610	3054	1944
611	3058	1939
612	3063	1934
613	3067	1928
614	3071	1922
615	3076	1917
616	3081	1912
617	3085	1907
618	3089	1901
619	3093	1896
620	3098	1890
621	3102	1885
622	3106	1879
623	3110	1874
624	3114	1868
625	3118	1863
626	3124	1858
627	3128	1853
628	3133	1848
629	3137	1842
630	3141	1837
631	3146	1831
632	3150	1826
633	3154	1820
634	3158	1815
635	3162	1810
636	3167	1804
637	3171	1799
638	3175	1794
639	3180	1789
640	3185	1784
641	3190	1779
