iter	Logloss
0	0.6834730004
1	0.673817841
2	0.6655005428
3	0.6572593187
4	0.6489742396
5	0.6407150634
6	0.6352738399
7	0.6280902366
8	0.6213745964
9	0.6152516198
10	0.6095239519
11	0.603906718
12	0.5988195663
13	0.5938690845
14	0.5895992473
15	0.586353425
16	0.5817189937
17	0.5774241191
18	0.5730828811
19	0.569039939
20	0.5656974199
21	0.5621047489
22	0.558800192
23	0.5558707839
24	0.5528084225
25	0.5496558055
26	0.5470055401
27	0.5453301318
28	0.5429048309
29	0.5403847052
30	0.5384341396
31	0.536486923
32	0.534151774
33	0.5317883286
34	0.5297462242
35	0.5275147575
36	0.5253259362
37	0.5235348483
38	0.5218157944
39	0.5203501482
40	0.5184734498
41	0.5169381333
42	0.5154634589
43	0.5140365267
44	0.5123520202
45	0.5109428099
46	0.5095384721
47	0.508557083
48	0.5071433031
49	0.5057142004
50	0.5044548898
51	0.5031464647
52	0.5020269989
53	0.5008041866
54	0.4997688311
55	0.4986539277
56	0.4976325136
57	0.4966180765
58	0.4955749032
59	0.4944764254
60	0.4940786208
61	0.4931474745
62	0.4925479794
63	0.4916915924
64	0.4909305018
65	0.4901897409
66	0.4894050401
67	0.4890140799
68	0.4883352474
69	0.4875123399
70	0.4868004074
71	0.4860135546
72	0.4852273839
73	0.4844334088
74	0.4837949051
75	0.4831038519
76	0.4826503665
77	0.4819490731
78	0.4813471426
79	0.4806101501
80	0.4799696293
81	0.4793117268
82	0.4786941483
83	0.4781097947
84	0.4775292609
85	0.4769181831
86	0.4766055109
87	0.4762037625
88	0.4755714005
89	0.4749914153
90	0.4744843313
91	0.4740413754
92	0.4736443584
93	0.4732227968
94	0.4727437098
95	0.4723204429
96	0.4717860382
97	0.4713398405
98	0.47095141
99	0.4705142079
100	0.4702282505
101	0.4698673556
102	0.4694531036
103	0.4690231016
104	0.4687686293
105	0.4683159596
106	0.4679294606
107	0.4675858517
108	0.4672451452
109	0.4667427912
110	0.4664371635
111	0.4660004773
112	0.4655693274
113	0.4651765309
114	0.4646405449
115	0.4642937402
116	0.4638635531
117	0.4635722261
118	0.46354005
119	0.4632357596
120	0.4629375927
121	0.4626146058
122	0.4622534193
123	0.462086164
124	0.461468399
125	0.4610973096
126	0.4607855924
127	0.4602286095
128	0.4600155526
129	0.4597853496
130	0.4594583052
131	0.4592008343
132	0.4588872955
133	0.4586224254
134	0.4583735633
135	0.4579640653
136	0.4577455877
137	0.4574568945
138	0.457128552
139	0.4568772725
140	0.4564737227
141	0.4561248636
142	0.4557760118
143	0.4554086106
144	0.4551256843
145	0.4549788418
146	0.4546787011
147	0.4542746229
148	0.4541622488
149	0.4539446275
150	0.4537889566
151	0.4534128461
152	0.453335505
153	0.4530379877
154	0.4528432934
155	0.4525085145
156	0.4520913309
157	0.4518990884
158	0.451605257
159	0.451375041
160	0.4508999813
161	0.4507227139
162	0.4505461832
163	0.4503546674
164	0.4501035442
165	0.4499110498
166	0.4496626103
167	0.4492849319
168	0.448975916
169	0.4487166921
170	0.4483944973
171	0.4481275249
172	0.4478283923
173	0.4474833111
174	0.4472742851
175	0.4471281981
176	0.4469571239
177	0.4467541899
178	0.4465392915
179	0.446199521
180	0.4459820365
181	0.4458692807
182	0.4457106936
183	0.445419241
184	0.4453541985
185	0.4451342162
186	0.4450408422
187	0.4447522681
188	0.4445283348
189	0.4442875726
190	0.4441887288
191	0.4439128502
192	0.4437491131
193	0.4436049026
194	0.4435109048
195	0.4434220258
196	0.4431985046
197	0.4429941069
198	0.4427943758
199	0.4427633537
200	0.4426388348
201	0.442194344
202	0.4418733031
203	0.4417135676
204	0.4413504716
205	0.4410912024
206	0.440986322
207	0.4408864902
208	0.4406014603
209	0.4404439707
210	0.4402567753
211	0.4400755479
212	0.4400019091
213	0.4398478555
214	0.4395504152
215	0.4394174986
216	0.4391253066
217	0.4388727873
218	0.4387821375
219	0.4384652569
220	0.4381775167
221	0.4379904822
222	0.4378267301
223	0.4377270853
224	0.4375699945
225	0.4373717355
226	0.4371867202
227	0.4369644756
228	0.4368269268
229	0.4366701098
230	0.4364530291
231	0.4362289465
232	0.4360367559
233	0.4359049161
234	0.4357253588
235	0.435382548
236	0.4353085403
237	0.4351646996
238	0.4349795266
239	0.4346745648
240	0.4344894192
241	0.4342834601
242	0.4340374057
243	0.4338678959
244	0.4337712994
245	0.4336777254
246	0.4334514635
247	0.4332870669
248	0.4331465008
249	0.4328170715
250	0.4326848492
251	0.4324190282
252	0.4322519472
253	0.4319560276
254	0.4317844867
255	0.4316262561
256	0.4314902108
257	0.4313675338
258	0.4312630961
259	0.4311095205
260	0.4309159415
261	0.430662008
262	0.4303724416
263	0.4302196965
264	0.429824725
265	0.4296410892
266	0.4296303558
267	0.429430346
268	0.4292002509
269	0.4290569394
270	0.4289054021
271	0.4287728231
272	0.428658189
273	0.4284847308
274	0.4283653641
275	0.4281248011
276	0.4279226422
277	0.4277530234
278	0.4276103583
279	0.4274578198
280	0.4273748084
281	0.4272774889
282	0.4271428818
283	0.4269827296
284	0.4268967398
285	0.4267124927
286	0.4265654582
287	0.4263213232
288	0.4261442451
289	0.4259133446
290	0.4257104215
291	0.4256482236
292	0.4254345303
293	0.4253506867
294	0.4251812116
295	0.4250188731
296	0.424873534
297	0.4247542103
298	0.4245914405
299	0.4244391933
300	0.4242536992
301	0.424187854
302	0.4239051664
303	0.4238039243
304	0.423679995
305	0.423465238
306	0.4233362437
307	0.4232074778
308	0.4229796221
309	0.4228548991
310	0.4226793178
311	0.422294588
312	0.4222216057
313	0.422010891
314	0.4217628832
315	0.4215630522
316	0.4213105609
317	0.4211620953
318	0.4208856256
319	0.4207590737
320	0.4205080276
321	0.4204026523
322	0.4203092781
323	0.4201516843
324	0.4199105572
325	0.419746051
326	0.4195545051
327	0.4192932307
328	0.4190890702
329	0.418937162
330	0.4187381534
331	0.418593688
332	0.4184213239
333	0.418419435
334	0.4181694625
335	0.4179852349
336	0.417857825
337	0.4176943983
338	0.4175480283
339	0.4173781974
340	0.4171626779
341	0.4170165773
342	0.4169255679
343	0.416846095
344	0.4165810628
345	0.4163909953
346	0.4162384514
347	0.4160708923
348	0.4158516996
349	0.415698547
350	0.4155941181
351	0.4155575011
352	0.4153692071
353	0.4151502022
354	0.4150056812
355	0.4147919612
356	0.4147128807
357	0.4145691589
358	0.4143879109
359	0.4141736482
360	0.4140603713
361	0.4139728732
362	0.4137379948
363	0.4136013512
364	0.4134338573
365	0.413279284
366	0.4131835383
367	0.412887185
368	0.4127391511
369	0.4125801799
370	0.4124618992
371	0.4122667764
372	0.4121132635
373	0.4120218726
374	0.411910099
375	0.4117781431
376	0.4116907031
377	0.4115712303
378	0.4114414915
379	0.4111168205
380	0.4108835948
381	0.4106868492
382	0.4105449038
383	0.4103185258
384	0.4101443122
385	0.410075096
386	0.4098755007
387	0.4097306295
388	0.4096085642
389	0.409479738
390	0.4093507357
391	0.4091422649
392	0.4090688588
393	0.4088172567
394	0.4087694171
395	0.4085490295
396	0.4084221216
397	0.4082392512
398	0.4081177972
399	0.4080172927
400	0.4078704135
401	0.4077893438
402	0.4076049179
403	0.4074598267
404	0.4073791717
405	0.4072412775
406	0.4070174633
407	0.4067813664
408	0.4064524491
409	0.4063325263
410	0.4062188614
411	0.4060455523
412	0.405870847
413	0.4057065066
414	0.4055621003
415	0.4054645546
416	0.4052521958
417	0.4051541986
418	0.4050160808
419	0.4047845939
420	0.4045497486
421	0.4044681265
422	0.4042069673
423	0.404024423
424	0.4038447136
425	0.4037508152
426	0.4035837019
427	0.4034014518
428	0.4032394983
429	0.4029584609
430	0.4028522029
431	0.402786298
432	0.4026598137
433	0.4025245567
434	0.4023424503
435	0.4020126185
436	0.4018512249
437	0.4016899792
438	0.4015614186
439	0.401456869
440	0.4012428789
441	0.4010685285
442	0.4009127877
443	0.4007820146
444	0.4006157541
445	0.4004957974
446	0.4003717504
447	0.4002357272
448	0.4001133623
449	0.3999488147
450	0.3998367142
451	0.3996071356
452	0.3994855234
453	0.3993687652
454	0.3991808879
455	0.3989367178
456	0.3988186036
457	0.3986872673
458	0.3985447238
459	0.398458855
460	0.3981491724
461	0.3980619001
462	0.3977826862
463	0.3976961026
464	0.3975317311
465	0.397366531
466	0.3972213075
467	0.3970730723
468	0.39695227
469	0.3967686611
470	0.3966580261
471	0.3965389334
472	0.3964705439
473	0.3963131344
474	0.3961731878
475	0.3960383714
476	0.3959355309
477	0.3958039031
478	0.3956548401
479	0.3954925023
480	0.3953497433
481	0.3952088223
482	0.3950704822
483	0.3948533856
484	0.3947162995
485	0.3944546389
486	0.3943174652
487	0.394189678
488	0.3940454243
489	0.3937807511
490	0.3936326599
491	0.3934899394
492	0.3933663552
493	0.3931666428
494	0.3929563027
495	0.3928380689
496	0.3927094214
497	0.392542621
498	0.3924165066
499	0.3922976523
500	0.392226945
501	0.3921003019
502	0.3919818892
503	0.3917226787
504	0.3915613645
505	0.3914714411
506	0.3913088387
507	0.3911650781
508	0.3910529453
509	0.3909088087
510	0.3907888039
511	0.3906670041
512	0.3904947552
513	0.3903534203
514	0.3900987198
515	0.3899183604
516	0.3898140486
517	0.3896836598
518	0.3895174869
519	0.389302636
520	0.3890948981
521	0.3889721765
522	0.3888481608
523	0.3886966807
524	0.3885995343
525	0.3884404139
526	0.3883356604
527	0.3882192251
528	0.3881039661
529	0.3879805965
530	0.3878511795
531	0.387778365
532	0.3876303345
533	0.3874795893
534	0.3873507051
535	0.3872225878
536	0.3870900205
537	0.3869395997
538	0.3868616875
539	0.3866933022
540	0.3865599009
541	0.386414941
542	0.3862926353
543	0.3861529745
544	0.3860076883
545	0.3858957067
546	0.3857626335
547	0.3856197369
548	0.3855147768
549	0.3853538256
550	0.3852159448
551	0.3851117213
552	0.3850057289
553	0.3848957532
554	0.3846610855
555	0.3845180987
